sale_id,date,customer_id,product_id,store_id,employee_id,quantity,unit_price,discount_pct,revenue,cost,profit,channel,payment_method
TXN00001,2023-12-15,C0440,P020,S09,E120,3,5238.87,0.0,15716.61,9803.79,5912.82,In-Store,Cash
TXN00002,2024-07-15,C0380,P023,S03,E176,8,3968.65,0.05,30161.74,21100.08,9061.66,Phone,Cash
TXN00003,2021-01-23,C0241,P019,S15,E132,11,1903.37,0.1,18843.36,11968.88,6874.48,Partner,Mobile Banking
TXN00004,2022-08-27,C0149,P025,S06,E010,14,6424.47,0.0,89942.58,48058.92,41883.66,Phone,Mobile Banking
TXN00005,2023-08-28,C0297,P015,S06,E147,2,8753.39,0.15,14880.76,8825.76,6055.0,In-Store,Mobile Banking
TXN00006,2022-08-11,C0249,P029,S03,E033,20,3883.0,0.0,77660.0,39368.0,38292.0,In-Store,Mobile Banking
TXN00007,2024-06-15,C0144,P022,S09,E066,9,5360.57,0.0,48245.13,33767.55,14477.58,In-Store,Cash
TXN00008,2024-04-26,C0379,P037,S05,E169,20,5886.49,0.0,117729.8,79201.0,38528.8,Partner,Mobile Banking
TXN00009,2024-12-06,C0121,P018,S16,E047,6,4886.72,0.0,29320.32,16569.84,12750.48,In-Store,Mobile Banking
TXN00010,2024-05-04,C0479,P005,S05,E127,3,4264.87,0.0,12794.61,9908.94,2885.67,Partner,Credit
TXN00011,2023-06-21,C0372,P018,S06,E054,8,4886.72,0.15,33229.7,22093.12,11136.58,Phone,Cash
TXN00012,2021-08-26,C0027,P028,S06,E119,9,4524.59,0.2,32577.05,23211.63,9365.42,Partner,Credit
TXN00013,2023-12-27,C0120,P007,S13,E175,10,918.59,0.05,8726.6,5763.0,2963.6,Partner,Credit
TXN00014,2023-12-23,C0446,P020,S14,E004,9,5238.87,0.0,47149.83,29411.37,17738.46,Phone,Credit
TXN00015,2022-10-09,C0493,P001,S17,E175,13,6287.9,0.15,69481.3,63756.16,5725.14,In-Store,Cash
TXN00016,2022-12-26,C0490,P021,S14,E157,18,1024.97,0.15,15682.04,11182.68,4499.36,Phone,Mobile Banking
TXN00017,2021-07-21,C0131,P027,S19,E101,9,5864.31,0.0,52778.79,27897.66,24881.13,Partner,Card
TXN00018,2022-02-04,C0267,P010,S11,E174,19,363.83,0.2,5530.22,5323.42,206.8,Online,Mobile Banking
TXN00019,2024-10-09,C0005,P004,S03,E004,18,5997.31,0.0,107951.58,73657.98,34293.6,Partner,Cash
TXN00020,2024-11-04,C0229,P023,S12,E057,17,3968.65,0.0,67467.05,44837.67,22629.38,Phone,Mobile Banking
TXN00021,2021-02-18,C0318,P028,S03,E015,7,4524.59,0.0,31672.13,18053.49,13618.64,Online,Cash
TXN00022,2024-05-23,C0067,P020,S13,E169,4,5238.87,0.0,20955.48,13071.72,7883.76,Online,Cash
TXN00023,2022-08-27,C0240,P016,S03,E164,6,3991.25,0.0,23947.5,12116.76,11830.74,Partner,Mobile Banking
TXN00024,2024-09-29,C0395,P013,S11,E066,14,4453.6,0.15,52997.84,34167.14,18830.7,Online,Cash
TXN00025,2021-05-08,C0196,P034,S13,E086,9,1866.9,0.2,13441.68,12884.49,557.19,In-Store,Mobile Banking
TXN00026,2023-06-22,C0036,P025,S16,E052,9,6424.47,0.0,57820.23,30895.02,26925.21,Partner,Card
TXN00027,2021-10-22,C0277,P009,S14,E056,16,4100.84,0.0,65613.44,36998.08,28615.36,In-Store,Credit
TXN00028,2021-03-13,C0038,P007,S03,E147,9,918.59,0.0,8267.31,5186.7,3080.61,Phone,Credit
TXN00029,2021-11-01,C0335,P019,S01,E010,1,1903.37,0.05,1808.2,1088.08,720.12,Partner,Mobile Banking
TXN00030,2022-11-07,C0464,P014,S13,E148,5,3738.0,0.15,15886.5,14569.2,1317.3,In-Store,Credit
TXN00031,2023-04-08,C0433,P004,S03,E139,16,5997.31,0.05,91159.11,65473.76,25685.35,Online,Cash
TXN00032,2023-09-15,C0063,P009,S19,E138,13,4100.84,0.15,45314.28,30060.94,15253.34,Phone,Mobile Banking
TXN00033,2021-04-24,C0324,P017,S03,E094,10,1291.83,0.05,12272.38,7339.9,4932.48,Phone,Cash
TXN00034,2022-08-17,C0332,P021,S07,E046,15,1024.97,0.2,12299.64,9318.9,2980.74,In-Store,Credit
TXN00035,2024-11-26,C0200,P035,S04,E162,7,2077.43,0.0,14542.01,11804.03,2737.98,Phone,Credit
TXN00036,2023-06-16,C0377,P013,S07,E036,3,4453.6,0.15,11356.68,7321.53,4035.15,In-Store,Card
TXN00037,2024-04-29,C0123,P030,S16,E100,1,6329.74,0.15,5380.28,3731.17,1649.11,In-Store,Mobile Banking
TXN00038,2023-07-10,C0495,P034,S01,E010,16,1866.9,0.1,26883.36,22905.76,3977.6,Phone,Cash
TXN00039,2021-03-29,C0208,P024,S04,E055,11,594.39,0.2,5230.63,3632.09,1598.54,Partner,Card
TXN00040,2021-05-28,C0019,P012,S05,E126,19,4394.4,0.0,83493.6,50830.7,32662.9,In-Store,Credit
TXN00041,2022-05-13,C0360,P016,S05,E004,20,3991.25,0.0,79825.0,40389.2,39435.8,Online,Cash
TXN00042,2021-07-19,C0234,P012,S20,E044,10,4394.4,0.2,35155.2,26753.0,8402.2,In-Store,Cash
TXN00043,2024-05-03,C0410,P001,S20,E057,4,6287.9,0.05,23894.02,19617.28,4276.74,In-Store,Card
TXN00044,2024-10-21,C0206,P009,S11,E031,14,4100.84,0.0,57411.76,32373.32,25038.44,Online,Mobile Banking
TXN00045,2021-04-04,C0304,P008,S06,E086,7,1766.83,0.2,9894.25,9161.11,733.14,In-Store,Cash
TXN00046,2023-05-01,C0087,P030,S12,E142,9,6329.74,0.0,56967.66,33580.53,23387.13,Online,Credit
TXN00047,2021-03-25,C0069,P026,S04,E162,8,5621.09,0.1,40471.85,30242.32,10229.53,Partner,Card
TXN00048,2021-06-15,C0004,P021,S01,E046,1,1024.97,0.05,973.72,621.26,352.46,In-Store,Mobile Banking
TXN00049,2023-09-02,C0355,P023,S05,E053,14,3968.65,0.15,47226.94,36925.14,10301.8,Online,Mobile Banking
TXN00050,2023-04-24,C0123,P024,S06,E157,17,594.39,0.05,9599.4,5613.23,3986.17,In-Store,Card
TXN00051,2021-06-30,C0322,P035,S10,E090,16,2077.43,0.1,29914.99,26980.64,2934.35,Partner,Cash
TXN00052,2022-01-29,C0061,P022,S17,E025,18,5360.57,0.0,96490.26,67535.1,28955.16,Phone,Card
TXN00053,2024-07-06,C0338,P026,S07,E071,15,5621.09,0.2,67453.08,56704.35,10748.73,In-Store,Card
TXN00054,2021-11-02,C0351,P024,S16,E128,4,594.39,0.2,1902.05,1320.76,581.29,Online,Card
TXN00055,2024-08-13,C0187,P027,S10,E054,2,5864.31,0.0,11728.62,6199.48,5529.14,Partner,Mobile Banking
TXN00056,2023-07-18,C0023,P005,S04,E190,11,4264.87,0.1,42222.21,36332.78,5889.43,In-Store,Card
TXN00057,2021-03-01,C0249,P014,S17,E030,6,3738.0,0.2,17942.4,17483.04,459.36,In-Store,Card
TXN00058,2024-04-02,C0167,P012,S14,E051,15,4394.4,0.1,59324.4,40129.5,19194.9,Phone,Card
TXN00059,2022-04-12,C0051,P029,S08,E189,4,3883.0,0.0,15532.0,7873.6,7658.4,Partner,Card
TXN00060,2021-05-31,C0242,P027,S19,E125,13,5864.31,0.0,76236.03,40296.62,35939.41,In-Store,Credit
TXN00061,2024-06-02,C0233,P013,S06,E100,5,4453.6,0.0,22268.0,12202.55,10065.45,Phone,Card
TXN00062,2022-02-02,C0324,P015,S12,E070,15,8753.39,0.15,111605.72,66193.2,45412.52,Online,Mobile Banking
TXN00063,2024-11-18,C0292,P013,S02,E072,5,4453.6,0.0,22268.0,12202.55,10065.45,Online,Cash
TXN00064,2023-05-07,C0088,P032,S11,E057,15,7519.67,0.05,107155.3,72348.45,34806.85,Phone,Card
TXN00065,2024-03-29,C0497,P038,S18,E059,20,1840.87,0.0,36817.4,22776.2,14041.2,In-Store,Credit
TXN00066,2022-03-20,C0303,P027,S16,E119,17,5864.31,0.05,94708.61,52695.58,42013.03,Phone,Cash
TXN00067,2022-05-21,C0127,P027,S11,E112,14,5864.31,0.15,69785.29,43396.36,26388.93,Online,Card
TXN00068,2023-05-06,C0023,P019,S02,E121,19,1903.37,0.0,36164.03,20673.52,15490.51,In-Store,Credit
TXN00069,2023-09-09,C0415,P009,S04,E116,17,4100.84,0.05,66228.57,39310.46,26918.11,Partner,Card
TXN00070,2021-01-26,C0355,P028,S14,E056,3,4524.59,0.1,12216.39,7737.21,4479.18,Online,Mobile Banking
TXN00071,2024-08-19,C0047,P028,S01,E123,10,4524.59,0.0,45245.9,25790.7,19455.2,Phone,Card
TXN00072,2024-03-14,C0383,P025,S19,E007,15,6424.47,0.2,77093.64,51491.7,25601.94,Partner,Credit
TXN00073,2024-12-11,C0208,P019,S06,E095,5,1903.37,0.2,7613.48,5440.4,2173.08,Partner,Cash
TXN00074,2024-11-15,C0171,P009,S17,E009,3,4100.84,0.05,11687.39,6937.14,4750.25,Phone,Credit
TXN00075,2024-06-08,C0278,P016,S19,E054,9,3991.25,0.15,30533.06,18175.14,12357.92,In-Store,Mobile Banking
TXN00076,2024-10-13,C0187,P037,S02,E029,2,5886.49,0.1,10595.68,7920.1,2675.58,Partner,Mobile Banking
TXN00077,2021-03-25,C0188,P026,S12,E045,15,5621.09,0.1,75884.72,56704.35,19180.37,In-Store,Card
TXN00078,2022-05-04,C0277,P007,S04,E167,5,918.59,0.0,4592.95,2881.5,1711.45,Partner,Card
TXN00079,2022-12-24,C0460,P018,S09,E129,8,4886.72,0.0,39093.76,22093.12,17000.64,Partner,Mobile Banking
TXN00080,2023-02-03,C0177,P010,S15,E125,2,363.83,0.0,727.66,560.36,167.3,In-Store,Credit
TXN00081,2023-12-28,C0461,P018,S10,E116,18,4886.72,0.15,74766.82,49709.52,25057.3,Phone,Cash
TXN00082,2021-06-28,C0042,P015,S13,E046,7,8753.39,0.05,58210.04,30890.16,27319.88,Phone,Cash
TXN00083,2022-07-20,C0058,P021,S05,E128,4,1024.97,0.0,4099.88,2485.04,1614.84,Online,Card
TXN00084,2021-02-16,C0151,P031,S14,E175,17,8229.99,0.15,118923.36,77551.62,41371.74,Online,Credit
TXN00085,2023-06-29,C0378,P002,S01,E075,12,5224.55,0.05,59559.87,33693.6,25866.27,Online,Cash
TXN00086,2022-04-21,C0428,P032,S17,E166,1,7519.67,0.2,6015.74,4823.23,1192.51,Phone,Credit
